X vol_f_Field2 diameter_Field2
0.000139645 0.289543 0.000344648
0.000376525 0.290532 0.00036357
0.000613858 0.291916 0.000374855
0.000851483 0.293868 0.00038313
0.00108931 0.296426 0.000390592
0.00132727 0.29951 0.000398103
0.00156534 0.30314 0.000406096
0.00180349 0.307227 0.000414666
0.0020417 0.311764 0.000423786
0.00227996 0.316666 0.000433292
0.00251826 0.32193 0.000442968
0.00275659 0.327452 0.000452522
0.00299495 0.333197 0.000461646
0.00323333 0.339065 0.000470007
0.00347172 0.345077 0.000477327
0.00371014 0.351136 0.000483348
0.00394857 0.357254 0.000487915
0.00418701 0.363336 0.00049091
0.00442546 0.369389 0.000492324
0.00466392 0.375354 0.000492161
0.00490238 0.381259 0.000490515
0.00514086 0.38704 0.000487439
0.00537934 0.39274 0.000483065
0.00561783 0.398296 0.000477426
0.00585632 0.403801 0.00047065
0.00609482 0.409146 0.000462702
0.00633332 0.414481 0.000453697
0.00657182 0.419654 0.000443496
0.00681033 0.424785 0.000432165
0.00704884 0.429804 0.000419481
0.00728736 0.43495 0.000405646
0.00752587 0.439993 0.000390265
0.00776439 0.445162 0.000373452
0.00800291 0.450322 0.000354483
0.00824144 0.455675 0.000333541
0.00847996 0.461126 0.000309259
0.00871849 0.466757 0.00028167
0.00895702 0.472683 0.000247999
0.00919555 0.479174 0.000208053
0.00943408 0.488686 0.000160781
