X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.00982199 2.04825e-05 4.24511 4.24634
0.000376525 0.0115097 3.56393e-05 4.24505 4.24795
0.000613858 0.0128297 5.01269e-05 4.244 4.24897
0.000851483 0.0141965 6.32235e-05 4.24223 4.24962
0.00108931 0.0158729 7.50465e-05 4.23968 4.24927
0.00132727 0.0178753 8.59632e-05 4.2364 4.24806
0.00156534 0.0202344 9.6311e-05 4.23233 4.24598
0.00180349 0.0229908 0.000106263 4.2275 4.24306
0.0020417 0.0261915 0.00011584 4.22185 4.23923
0.00227996 0.0298902 0.000124959 4.21535 4.23446
0.00251826 0.0341471 0.000133497 4.20794 4.22862
0.00275659 0.0390279 0.000141368 4.19956 4.22165
0.00299495 0.0446014 0.000148567 4.19013 4.21346
0.00323333 0.0509389 0.000155185 4.17952 4.20394
0.00347172 0.0581133 0.000161385 4.16767 4.19309
0.00371014 0.066182 0.000167381 4.15436 4.1807
0.00394857 0.0752203 0.000173399 4.13952 4.16679
0.00418701 0.0852047 0.000179641 4.12285 4.15108
0.00442546 0.0961976 0.000186317 4.1042 4.1334
0.00466392 0.108128 0.000193614 4.08326 4.11345
0.00490238 0.120962 0.000201692 4.05976 4.091
0.00514086 0.134524 0.000210643 4.03341 4.06576
0.00537934 0.148719 0.000220489 4.00384 4.03742
0.00561783 0.163228 0.000231119 3.97085 4.00571
0.00585632 0.177964 0.000242336 3.9341 3.97029
0.00609482 0.192516 0.000253756 3.89357 3.93107
0.00633332 0.206933 0.000264966 3.84895 3.88771
0.00657182 0.220761 0.000275362 3.80038 3.84025
0.00681033 0.234295 0.000284493 3.74715 3.7879
0.00704884 0.247073 0.000291717 3.68957 3.73088
0.00728736 0.259593 0.000296762 3.62551 3.66701
0.00752587 0.27143 0.000299076 3.55646 3.59771
0.00776439 0.283119 0.000298616 3.47651 3.51708
0.00800291 0.294255 0.000294857 3.39147 3.43086
0.00824144 0.30555 0.000287987 3.28492 3.32273
0.00847996 0.316571 0.000277051 3.173 3.20838
0.00871849 0.327762 0.000262064 3.01505 3.04811
0.00895702 0.338871 0.000242052 2.84559 2.87636
0.00919555 0.351454 0.000218966 2.55609 2.58379
0.00943408 0.365444 0.000201806 2.12172 2.14177
