X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.025228 3.86309e-05 4.31572 4.31981
0.000376525 0.0261033 6.98123e-05 4.3154 4.32539
0.000613858 0.0272362 9.34398e-05 4.31367 4.32851
0.000851483 0.0287199 0.000112866 4.3111 4.32992
0.00108931 0.0305607 0.000129834 4.30757 4.32986
0.00132727 0.0327859 0.000144931 4.30311 4.32843
0.00156534 0.0354217 0.00015857 4.2977 4.32571
0.00180349 0.0385042 0.000171198 4.2913 4.32175
0.0020417 0.0420708 0.000183294 4.28386 4.3166
0.00227996 0.0461633 0.000195338 4.27534 4.31031
0.00251826 0.0508255 0.000207789 4.26565 4.30289
0.00275659 0.0561004 0.00022108 4.2547 4.29434
0.00299495 0.0620325 0.000235618 4.24239 4.28462
0.00323333 0.0686561 0.000251774 4.22858 4.27369
0.00347172 0.0760047 0.000269832 4.21315 4.26146
0.00371014 0.0840808 0.000289969 4.19591 4.24779
0.00394857 0.0928963 0.000312228 4.17672 4.23247
0.00418701 0.102385 0.000336463 4.15541 4.21514
0.00442546 0.112541 0.000362301 4.13183 4.19546
0.00466392 0.123177 0.000389075 4.10627 4.17187
0.00490238 0.13422 0.000415911 4.07847 4.14357
0.00514086 0.145453 0.000441763 4.04793 4.1121
0.00537934 0.156989 0.000465668 4.01424 4.07746
0.00561783 0.168445 0.000486688 3.97751 4.03977
0.00585632 0.180066 0.000504265 3.93717 3.99849
0.00609482 0.191374 0.000517887 3.89347 3.95388
0.00633332 0.202789 0.000527551 3.84549 3.90501
0.00657182 0.213702 0.000533055 3.79388 3.85254
0.00681033 0.22473 0.00053476 3.73664 3.79444
0.00704884 0.235146 0.000532497 3.67573 3.73275
0.00728736 0.245744 0.000526797 3.60625 3.66249
0.00752587 0.255714 0.000517344 3.534 3.58952
0.00776439 0.265968 0.000504804 3.44632 3.50118
0.00800291 0.275707 0.000488584 3.35931 3.41352
0.00824144 0.285864 0.000468979 3.24127 3.2951
0.00847996 0.295807 0.000444843 3.13085 3.18431
0.00871849 0.306407 0.000417425 2.95521 3.00878
0.00895702 0.31749 0.000386481 2.78771 2.84052
0.00919555 0.331043 0.000361431 2.46685 2.51083
0.00943408 0.342488 0.000391092 2.02141 2.06201
