X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.253506 0.000182228 5.45567 5.49616
0.000376525 0.254622 0.000211091 5.45272 5.50105
0.000613858 0.256535 0.000230599 5.44924 5.5027
0.000851483 0.259107 0.000243696 5.44477 5.50148
0.00108931 0.262495 0.000253006 5.43902 5.4978
0.00132727 0.266554 0.000260084 5.43181 5.4919
0.00156534 0.271331 0.000265958 5.42303 5.48396
0.00180349 0.276711 0.000271268 5.41252 5.47401
0.0020417 0.282672 0.000276417 5.40018 5.46207
0.00227996 0.289101 0.000281636 5.38587 5.44806
0.00251826 0.295942 0.00028705 5.3695 5.43195
0.00275659 0.303065 0.000292698 5.35096 5.41365
0.00299495 0.310461 0.000298568 5.33019 5.3931
0.00323333 0.317982 0.000304593 5.30714 5.37026
0.00347172 0.325603 0.000310672 5.28179 5.34509
0.00371014 0.333174 0.000316665 5.25413 5.31756
0.00394857 0.340647 0.00032242 5.2242 5.28771
0.00418701 0.347962 0.000327764 5.19199 5.25547
0.00442546 0.355109 0.000332538 5.1575 5.22084
0.00466392 0.362076 0.000336581 5.1207 5.18375
0.00490238 0.368904 0.000339767 5.08147 5.14407
0.00514086 0.375561 0.000341974 5.03971 5.10164
0.00537934 0.382064 0.000343129 4.99524 5.05632
0.00561783 0.388344 0.00034315 4.94792 5.00791
0.00585632 0.394471 0.000342022 4.89737 4.95608
0.00609482 0.400401 0.000339694 4.84351 4.90067
0.00633332 0.406231 0.000336187 4.78556 4.84099
0.00657182 0.411886 0.000331442 4.72374 4.77719
0.00681033 0.417479 0.000325497 4.65621 4.70749
0.00704884 0.422939 0.000318256 4.58447 4.63335
0.00728736 0.428418 0.000309745 4.50346 4.54973
0.00752587 0.433775 0.000299779 4.41914 4.46264
0.00776439 0.439229 0.000288375 4.31701 4.3575
0.00800291 0.44467 0.000275188 4.21619 4.25351
0.00824144 0.450288 0.000260239 4.07462 4.10795
0.00847996 0.456017 0.000242934 3.94648 3.97635
0.00871849 0.461904 0.000223282 3.73744 3.76366
0.00895702 0.468071 0.000200277 3.54322 3.56658
0.00919555 0.474643 0.000174758 3.17099 3.19143
0.00943408 0.483971 0.000150208 2.66195 2.67674
