X vol_f_Field2 diameter_Field2
0.000139645 0.569343 0.000906662
0.000376525 0.56938 0.000905066
0.000613858 0.569424 0.000901791
0.000851483 0.569513 0.000896977
0.00108931 0.569647 0.000890642
0.00132727 0.569839 0.000882875
0.00156534 0.570091 0.000873748
0.00180349 0.570416 0.000863375
0.0020417 0.570824 0.000851873
0.00227996 0.571323 0.000839369
0.00251826 0.571921 0.000825993
0.00275659 0.572633 0.000811855
0.00299495 0.573452 0.000797071
0.00323333 0.574398 0.000781719
0.00347172 0.575459 0.00076589
0.00371014 0.576653 0.000749629
0.00394857 0.577962 0.00073299
0.00418701 0.579358 0.000715963
0.00442546 0.580822 0.000698627
0.00466392 0.582368 0.000680972
0.00490238 0.583971 0.000663081
0.00514086 0.585655 0.000644905
0.00537934 0.587384 0.00062654
0.00561783 0.589199 0.000607888
0.00585632 0.591043 0.000589061
0.00609482 0.592971 0.000569894
0.00633332 0.594927 0.000550522
0.00657182 0.596993 0.000530678
0.00681033 0.599038 0.000510563
0.00704884 0.601258 0.000489709
0.00728736 0.603419 0.000468466
0.00752587 0.605845 0.000445992
0.00776439 0.608159 0.000422906
0.00800291 0.610845 0.000397712
0.00824144 0.613451 0.000371432
0.00847996 0.61658 0.000341471
0.00871849 0.619657 0.000308944
0.00895702 0.62352 0.000269307
0.00919555 0.626923 0.000222303
0.00943408 0.63363 0.000166544
