X vol_f_Field2 diameter_Field2
0.000139645 4.1371e-17 1e-05
0.000376525 2.76636e-17 1e-05
0.000613858 5.56105e-18 1e-05
0.000851483 4.13091e-18 1e-05
0.00108931 7.77352e-18 1e-05
0.00132727 2.49055e-17 1e-05
0.00156534 7.66487e-18 1e-05
0.00180349 1.29089e-17 1e-05
0.0020417 6.90206e-18 1e-05
0.00227996 4.24514e-17 1e-05
0.00251826 3.72579e-17 1e-05
0.00275659 3.17346e-17 1e-05
0.00299495 1.6057e-17 1e-05
0.00323333 2.44893e-17 1e-05
0.00347172 2.31403e-17 1e-05
0.00371014 2.93387e-17 1e-05
0.00394857 2.17775e-16 1e-05
0.00418701 2.2836e-15 1e-05
0.00442546 2.36075e-14 1e-05
0.00466392 2.44464e-13 1e-05
0.00490238 2.58358e-12 1e-05
0.00514086 2.85058e-11 1e-05
0.00537934 3.05123e-10 1e-05
0.00561783 3.1739e-09 1e-05
0.00585632 3.2109e-08 1e-05
0.00609482 3.14607e-07 1e-05
0.00633332 3.0281e-06 1e-05
0.00657182 2.06364e-05 1.25827e-05
0.00681033 9.02283e-05 1.89884e-05
0.00704884 0.000285948 2.75276e-05
0.00728736 0.000747536 3.7363e-05
0.00752587 0.00167608 4.68827e-05
0.00776439 0.00345472 5.6411e-05
0.00800291 0.00662637 6.62846e-05
0.00824144 0.0121547 7.62809e-05
0.00847996 0.0213582 8.66504e-05
0.00871849 0.0367928 9.83454e-05
0.00895702 0.0606589 0.000113103
0.00919555 0.0962886 0.000130995
0.00943408 0.138824 0.000147613
