X vol_f_Field2 diameter_Field2
0.000139645 0.70073 0.000641994
0.000376525 0.700877 0.000640878
0.000613858 0.701065 0.000638472
0.000851483 0.701341 0.000634892
0.00108931 0.701699 0.000630177
0.00132727 0.702147 0.000624401
0.00156534 0.70268 0.000617615
0.00180349 0.703306 0.000609904
0.0020417 0.704019 0.000601331
0.00227996 0.704822 0.000591995
0.00251826 0.705718 0.00058197
0.00275659 0.706696 0.000571362
0.00299495 0.707773 0.000560244
0.00323333 0.708923 0.000548718
0.00347172 0.710172 0.000536853
0.00371014 0.711484 0.000524734
0.00394857 0.712896 0.000512422
0.00418701 0.714368 0.000499979
0.00442546 0.715928 0.000487451
0.00466392 0.717542 0.000474867
0.00490238 0.719245 0.000462263
0.00514086 0.721014 0.000449643
0.00537934 0.72286 0.000437019
0.00561783 0.72477 0.000424371
0.00585632 0.726729 0.000411683
0.00609482 0.728786 0.000398919
0.00633332 0.730868 0.000386026
0.00657182 0.733023 0.000372945
0.00681033 0.735259 0.000359592
0.00704884 0.737571 0.000345877
0.00728736 0.739931 0.000331655
0.00752587 0.742448 0.000316808
0.00776439 0.744973 0.000301074
0.00800291 0.747731 0.000284264
0.00824144 0.750424 0.000265882
0.00847996 0.75384 0.00024554
0.00871849 0.756854 0.000222245
0.00895702 0.763093 0.000194515
0.00919555 0.766469 0.000161064
0.00943408 0.778208 0.000120067
