X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.00221649 1.33638e-05 4.14762 4.14796
0.000376525 0.00410967 2.37462e-05 4.14742 4.14845
0.000613858 0.00595342 3.60556e-05 4.14632 4.14865
0.000851483 0.00745984 4.863e-05 4.14454 4.1486
0.00108931 0.00887841 6.07018e-05 4.14197 4.14837
0.00132727 0.0105019 7.18905e-05 4.1386 4.14723
0.00156534 0.0124025 8.23579e-05 4.13445 4.14517
0.00180349 0.0146131 9.2485e-05 4.12948 4.14226
0.0020417 0.0171748 0.000102482 4.12367 4.13846
0.00227996 0.0201413 0.000112402 4.11698 4.13375
0.00251826 0.0235604 0.000122195 4.10937 4.12805
0.00275659 0.0275014 0.000131774 4.10078 4.12128
0.00299495 0.0320164 0.000141067 4.09113 4.11334
0.00323333 0.0371936 0.000150087 4.08034 4.10416
0.00347172 0.0430751 0.000158933 4.0683 4.09363
0.00371014 0.049767 0.0001678 4.05487 4.08167
0.00394857 0.0572954 0.000176934 4.03991 4.06818
0.00418701 0.0657444 0.000186623 4.02323 4.05306
0.00442546 0.0751212 0.000197138 4.00464 4.03614
0.00466392 0.0854905 0.000208687 3.98389 4.01723
0.00490238 0.0967562 0.000221422 3.96071 3.99595
0.00514086 0.108886 0.000235421 3.93483 3.97207
0.00537934 0.121729 0.00025062 3.90592 3.94527
0.00561783 0.135115 0.000266798 3.87379 3.91532
0.00585632 0.148859 0.000283548 3.83813 3.88186
0.00609482 0.162684 0.00030027 3.79888 3.84473
0.00633332 0.176499 0.000316266 3.75575 3.80356
0.00657182 0.190011 0.000330734 3.70874 3.75821
0.00681033 0.203316 0.000343014 3.65718 3.70792
0.00704884 0.21614 0.00035243 3.6012 3.6527
0.00728736 0.228726 0.000358637 3.53893 3.59063
0.00752587 0.240882 0.000361189 3.47144 3.5227
0.00776439 0.252886 0.000360004 3.39348 3.44371
0.00800291 0.264565 0.000354698 3.31 3.35854
0.00824144 0.276406 0.000345341 3.20575 3.25211
0.00847996 0.288072 0.000331434 3.09673 3.14015
0.00871849 0.30004 0.00031258 2.9396 2.97939
0.00895702 0.312033 0.000287416 2.77306 2.80943
0.00919555 0.325399 0.000256596 2.49024 2.52261
0.00943408 0.3419 0.00022366 2.06062 2.0827
