X vol_f_Field2 diameter_Field2
0.000139645 0.26129 0.000169069
0.000376525 0.262485 0.000195785
0.000613858 0.264577 0.00021325
0.000851483 0.267402 0.000223956
0.00108931 0.271123 0.000230413
0.00132727 0.275591 0.000234184
0.00156534 0.28085 0.000236352
0.00180349 0.286789 0.000237614
0.0020417 0.293375 0.000238425
0.00227996 0.3005 0.000239056
0.00251826 0.308088 0.000239678
0.00275659 0.316031 0.000240382
0.00299495 0.324202 0.000241216
0.00323333 0.332549 0.000242194
0.00347172 0.340997 0.000243305
0.00371014 0.349418 0.000244516
0.00394857 0.357769 0.000245781
0.00418701 0.365943 0.000247036
0.00442546 0.373895 0.000248214
0.00466392 0.381632 0.00024924
0.00490238 0.389171 0.000250038
0.00514086 0.396523 0.000250534
0.00537934 0.403663 0.000250652
0.00561783 0.410559 0.000250311
0.00585632 0.417223 0.000249453
0.00609482 0.423655 0.000248
0.00633332 0.429865 0.000245905
0.00657182 0.435863 0.000243091
0.00681033 0.441776 0.000239524
0.00704884 0.44759 0.000235103
0.00728736 0.453314 0.000229787
0.00752587 0.458971 0.000223424
0.00776439 0.464663 0.000215956
0.00800291 0.470396 0.000207121
0.00824144 0.476281 0.00019685
0.00847996 0.482388 0.000184672
0.00871849 0.488652 0.000170455
0.00895702 0.495305 0.000153368
0.00919555 0.502387 0.000133815
0.00943408 0.512378 0.000114308
