X vol_f_Field2 diameter_Field2
0.000139645 0.101724 0.000169368
0.000376525 0.102642 0.000203019
0.000613858 0.104302 0.000225387
0.000851483 0.106693 0.000241318
0.00108931 0.109866 0.000254373
0.00132727 0.11382 0.000266384
0.00156534 0.118587 0.000278405
0.00180349 0.12415 0.000291093
0.0020417 0.130534 0.0003049
0.00227996 0.137661 0.000320122
0.00251826 0.145536 0.000336952
0.00275659 0.15408 0.000355451
0.00299495 0.163246 0.000375541
0.00323333 0.172877 0.000396961
0.00347172 0.182926 0.000419288
0.00371014 0.193153 0.000441898
0.00394857 0.203596 0.000464101
0.00418701 0.214107 0.000485111
0.00442546 0.224616 0.000504212
0.00466392 0.235037 0.000520787
0.00490238 0.245329 0.000534438
0.00514086 0.255397 0.000544906
0.00537934 0.265266 0.000552179
0.00561783 0.274821 0.000556275
0.00585632 0.284176 0.000557414
0.00609482 0.293168 0.00055569
0.00633332 0.301995 0.000551391
0.00657182 0.310452 0.00054454
0.00681033 0.318781 0.00053541
0.00704884 0.326813 0.000523894
0.00728736 0.334793 0.000510225
0.00752587 0.342498 0.000494082
0.00776439 0.350317 0.000475524
0.00800291 0.357977 0.000453769
0.00824144 0.365877 0.000428834
0.00847996 0.373862 0.000399336
0.00871849 0.382157 0.000365184
0.00895702 0.390663 0.000323868
0.00919555 0.400426 0.000275784
0.00943408 0.412935 0.000223618
