X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.0774408 8.45767e-05 4.65549 4.67047
0.000376525 0.0782641 0.000130372 4.65485 4.68065
0.000613858 0.0797584 0.000161704 4.65303 4.68628
0.000851483 0.0818866 0.000183828 4.65044 4.68889
0.00108931 0.0846922 0.00020045 4.64696 4.6892
0.00132727 0.0881922 0.000213833 4.64256 4.68774
0.00156534 0.0924199 0.000225462 4.63719 4.68481
0.00180349 0.0973927 0.000236344 4.63079 4.68061
0.0020417 0.103141 0.000247194 4.62326 4.67523
0.00227996 0.109659 0.000258542 4.6145 4.66863
0.00251826 0.117011 0.000270802 4.6044 4.66074
0.00275659 0.125135 0.000284291 4.59279 4.65151
0.00299495 0.134029 0.00029924 4.57951 4.64083
0.00323333 0.143559 0.000315762 4.56438 4.62855
0.00347172 0.153708 0.000333861 4.54723 4.61449
0.00371014 0.164301 0.000353356 4.52789 4.59841
0.00394857 0.175242 0.000373903 4.50627 4.58006
0.00418701 0.186358 0.000394947 4.48263 4.55879
0.00442546 0.197591 0.000415823 4.45697 4.53306
0.00466392 0.208826 0.000435758 4.42868 4.50384
0.00490238 0.220063 0.000454041 4.39753 4.47161
0.00514086 0.231102 0.00046999 4.36347 4.43642
0.00537934 0.241973 0.000483172 4.3263 4.39816
0.00561783 0.252526 0.000493258 4.28603 4.3568
0.00585632 0.262865 0.000500218 4.24228 4.31203
0.00609482 0.272806 0.000503997 4.19512 4.26384
0.00633332 0.28255 0.000504818 4.14389 4.21163
0.00657182 0.291874 0.000502709 4.08892 4.15569
0.00681033 0.301024 0.000497987 4.02853 4.09439
0.00704884 0.309833 0.000490656 3.96414 4.02908
0.00728736 0.318535 0.000480893 3.89146 3.95557
0.00752587 0.326905 0.000468333 3.81543 3.87876
0.00776439 0.33536 0.000453141 3.72416 3.78672
0.00800291 0.343593 0.000434658 3.63258 3.69422
0.00824144 0.35205 0.000413008 3.51 3.5704
0.00847996 0.360547 0.000386998 3.39315 3.44882
0.00871849 0.369339 0.000356914 3.20745 3.25779
0.00895702 0.378289 0.000320876 3.03253 3.07771
0.00919555 0.38873 0.000281468 2.69661 2.73595
0.00943408 0.401288 0.000250994 2.23518 2.26271
