X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.174842 0.000343316 5.01492 5.08916
0.000376525 0.175706 0.000376179 5.01297 5.09542
0.000613858 0.177257 0.000399369 5.01011 5.0977
0.000851483 0.179334 0.000420879 5.00621 5.09606
0.00108931 0.182107 0.000443685 5.00106 5.09155
0.00132727 0.185513 0.000468754 4.99459 5.08495
0.00156534 0.189577 0.000496327 4.98674 5.07656
0.00180349 0.194218 0.000526057 4.97741 5.06647
0.0020417 0.19944 0.000557243 4.96653 5.05471
0.00227996 0.205189 0.000588857 4.95399 5.0412
0.00251826 0.21143 0.000619715 4.93971 5.02588
0.00275659 0.218092 0.000648609 4.92355 5.00865
0.00299495 0.225154 0.000674503 4.90543 4.98941
0.00323333 0.232505 0.000696605 4.88525 4.96809
0.00347172 0.239978 0.00071447 4.86289 4.94456
0.00371014 0.247731 0.000728014 4.8383 4.91879
0.00394857 0.255572 0.000737356 4.81134 4.89065
0.00418701 0.263459 0.000742785 4.78199 4.86013
0.00442546 0.271359 0.000744706 4.7501 4.82708
0.00466392 0.279167 0.000743496 4.71569 4.79154
0.00490238 0.286947 0.000739588 4.67853 4.75326
0.00514086 0.294555 0.000733283 4.63865 4.71229
0.00537934 0.302103 0.000724961 4.59578 4.66834
0.00561783 0.309412 0.000714816 4.54991 4.62142
0.00585632 0.316674 0.000703125 4.50056 4.57105
0.00609482 0.323651 0.000689861 4.44793 4.51744
0.00633332 0.330625 0.000675232 4.3909 4.45944
0.00657182 0.337286 0.000659042 4.33042 4.39804
0.00681033 0.344013 0.000641498 4.26359 4.33029
0.00704884 0.350421 0.000622224 4.19375 4.25961
0.00728736 0.35698 0.000601466 4.11318 4.17819
0.00752587 0.363256 0.000578568 4.03202 4.09626
0.00776439 0.369773 0.000553846 3.93007 3.99357
0.00800291 0.376123 0.000526171 3.83427 3.89711
0.00824144 0.382823 0.00049599 3.69586 3.75816
0.00847996 0.389607 0.000461432 3.57615 3.63779
0.00871849 0.396905 0.00042331 3.36876 3.42934
0.00895702 0.404559 0.000379156 3.18894 3.24376
0.00919555 0.413734 0.000336906 2.80693 2.84902
0.00943408 0.422361 0.000342047 2.31175 2.33926
