# Essai 	29G3P26W27Te64.8_1															

														
# Conditions aux limites moyennes :
																
#   Pression de sortie  26.17 bars
#   Temperature entree  65.58°C	 
#   Vitesse massique    3062.2 kg.m².s-¹	 
#   Puissance           27.2 kW
#   Flux                18.79 kW.m²	 
#   Titre de sortie     0.0596	

																
# Donnees scalaires :

# Nombre de points 	53
															
# Numero | Position	| Pression  | Temperature |   Vitesse   | Puissance |  Flux   | Titre de | Nbre de bulles |   Frequence    | Temps vapeur |   Taux  | Vitesse  |  Ai   | Diametre  | Diametre |  Densite 
#        |          | de sortie |   entree    |   massique  |           |         |  sortie  |    traitees    | d'interception |     moyen    | de vide | calcul­ee |       | de Sauter |    Dg    | de centre 
#        |          |   (bar)   |   (°C)      | (kg.m².s-¹) |   (kW)    | (kW.m²) |          |                |      (Hz)      |      (s)     |         | (m.s-¹)  | (m-¹) |   (m)     |   (m)    | (10⁶.m².s-¹)         

30	-0.003846	26.16	65.54	3062.2	27.2	128.84	0.0595	142000	1705.381755	7.10E-05	0.1211	4.19	1627.9	0.000446	0.000358	16933.8
31	-0.003657	26.16	65.56	3056.2	27.2	128.84	0.0604	142000	1613.734334	7.06E-05	0.114	4.21	1533.4	0.000446	0.000359	15960.9
32	-0.003467	26.17	65.53	3071.5	27.2	128.84	0.0581	159000	1552.31968	7.05E-05	0.1095	4.23	1468.4	0.000447	0.00036	    15215.2
33	-0.003275	26.16	65.57	3067	27.2	128.84	0.0593	140000	1486.081361	7.02E-05	0.1043	4.25	1399.5	0.000447	0.000361	14505.7
34	-0.003083	26.16	65.6	3058.1	27.2	128.84	0.0605	131000	1437.265956	6.99E-05	0.1005	4.27	1347.8	0.000448	0.000362	13942.5
35	-0.002892	26.17	65.62	3057.5	27.2	128.84	0.0608	145000	1394.648548	6.96E-05	0.0971	4.28	1302.4	0.000447	0.000361	13614.6
36	-0.002701	26.16	65.61	3071.8	27.2	128.84	0.0593	140000	1313.882577	6.94E-05	0.0912	4.3	    1222.1	0.000448	0.000362	12779.2
37	-0.00251	26.17	65.63	3059.8	27.2	128.84	0.0606	131000	1261.77318	6.89E-05	0.0869	4.32	1169.1	0.000446	0.000362	12290
38	-0.002317	26.16	65.6	3067.2	27.2	128.84	0.0596	123000	1194.801467	6.83E-05	0.0816	4.33	1102.8	0.000444	0.000359	11800.9
39	-0.002122	26.18	65.58	3065.7	27.2	128.84	0.0591	120000	1146.226873	6.83E-05	0.0782	4.35	1054	0.000445	0.000363	11104.3
40	-0.001931	26.17	65.62	3062.6	27.2	128.84	0.0602	119000	1111.730116	6.79E-05	0.0755	4.37	1018.6	0.000445	0.000362	10820.5
41	-0.001738	26.15	65.6	3067.3	27.2	128.84	0.0598	107000	1070.883343	6.72E-05	0.072	4.38	977.7	0.000442	0.000358	10638.7
42	-0.001545	26.17	65.59	3058.8	27.2	128.84	0.0603	109000	1028.383462	6.69E-05	0.0688	4.4	    935.6	0.000441	0.000358	10233.1
43	-0.00135	26.16	65.61	3066	27.1	128.37	0.0587	118000	995.0242595	6.67E-05	0.0664	4.41	902.2	0.000442	0.000358	9906.6
44	-0.001158	26.16	65.56	3071.5	27.1	128.37	0.0574	114000	971.7379797	6.64E-05	0.0645	4.43	878.2	0.000441	0.000358	9649.3
45	-0.000962	26.16	65.62	3066.1	27.1	128.37	0.0587	109000	973.8425664	6.62E-05	0.0644	4.44	877.2	0.000441	0.000358	9669.8
46	-0.000767	26.17	65.68	3060.6	27.2	128.84	0.0613	102000	982.0194344	6.61E-05	0.0649	4.45	881.7	0.000442	0.00036	    9649
47	-0.000573	26.16	65.69	3054.2	27.2	128.84	0.0624	112000	963.3146334	6.60E-05	0.0636	4.47	862.3	0.000442	0.000359	9541.9
48	-0.00038	26.16	65.65	3063.5	27.2	128.84	0.0606	112000	970.4141824	6.59E-05	0.064	4.48	866	    0.000443	0.000361	9472.3
49	-0.000183	26.17	65.69	3061.1	27.2	128.84	0.0613	110000	954.828355	6.59E-05	0.0629	4.5	    849.5	0.000444	0.000361	9310.3
50	4.00E-06	26.15	65.62	3064.2	27.2	128.84	0.0604	111000	930.0413971	6.60E-05	0.0614	4.51	825.2	0.000447	0.000363	8967.8
51	0.000203	26.19	65.57	3067	27.2	128.84	0.0586	124000	926.4903089	6.60E-05	0.0612	4.49	824.6	0.000445	0.000361	9054.3
52	0.000396	26.15	65.52	3057.6	27.2	128.84	0.0599	106000	930.1177319	6.63E-05	0.0617	4.48	830.3	0.000446	0.000362	9036.5
53	0.000595	26.15	65.56	3071.5	27.2	128.84	0.0589	110000	984.7586225	6.67E-05	0.0656	4.47	881.8	0.000447	0.000365	9430.6

