X vol_f_Field2 diameter_Field2
0.000139645 6.41705e-16 1e-05
0.000376525 6.28418e-16 1e-05
0.000613858 6.41935e-16 1e-05
0.000851483 6.65618e-16 1e-05
0.00108931 7.0017e-16 1e-05
0.00132727 7.4784e-16 1e-05
0.00156534 2.97904e-16 1e-05
0.00180349 3.2023e-16 1e-05
0.0020417 2.46206e-16 1e-05
0.00227996 3.08175e-16 1e-05
0.00251826 5.6192e-16 1e-05
0.00275659 1.96471e-16 1e-05
0.00299495 3.99535e-16 1e-05
0.00323333 1.64053e-15 1e-05
0.00347172 1.51594e-14 1e-05
0.00371014 1.38416e-13 1e-05
0.00394857 1.26562e-12 1e-05
0.00418701 1.21287e-11 1e-05
0.00442546 1.15694e-10 1e-05
0.00466392 1.06688e-09 1e-05
0.00490238 9.55e-09 1e-05
0.00514086 8.20187e-08 1e-05
0.00537934 6.94423e-07 1e-05
0.00561783 5.68773e-06 1e-05
0.00585632 4.41601e-05 1.00921e-05
0.00609482 0.000208502 1.50797e-05
0.00633332 0.000659824 2.29121e-05
0.00657182 0.00160115 3.28803e-05
0.00681033 0.00310352 4.22762e-05
0.00704884 0.00556793 5.07678e-05
0.00728736 0.00941049 5.89928e-05
0.00752587 0.0151388 6.70124e-05
0.00776439 0.0235323 7.45433e-05
0.00800291 0.0354584 8.14533e-05
0.00824144 0.0524047 8.79689e-05
0.00847996 0.0753915 9.46374e-05
0.00871849 0.105744 0.000101899
0.00895702 0.140981 0.000109667
0.00919555 0.180303 0.00011747
0.00943408 0.219095 0.000128228
