X vol_f_Field2 diameter_Field2
0.000139645 1.27478e-14 1e-05
0.000376525 1.24686e-14 1e-05
0.000613858 1.1708e-14 1e-05
0.000851483 9.96329e-15 1e-05
0.00108931 6.74748e-15 1e-05
0.00132727 3.22861e-15 1e-05
0.00156534 4.57103e-15 1e-05
0.00180349 1.25051e-14 1e-05
0.0020417 3.83077e-14 1e-05
0.00227996 1.186e-13 1e-05
0.00251826 3.66254e-13 1e-05
0.00275659 1.13766e-12 1e-05
0.00299495 3.62952e-12 1e-05
0.00323333 1.1628e-11 1e-05
0.00347172 3.67196e-11 1e-05
0.00371014 1.14622e-10 1e-05
0.00394857 3.53084e-10 1e-05
0.00418701 1.07546e-09 1e-05
0.00442546 3.23602e-09 1e-05
0.00466392 9.61251e-09 1e-05
0.00490238 2.81953e-08 1e-05
0.00514086 8.16451e-08 1e-05
0.00537934 2.33214e-07 1e-05
0.00561783 6.57939e-07 1e-05
0.00585632 1.82947e-06 1e-05
0.00609482 5.01649e-06 1.00061e-05
0.00633332 1.22362e-05 1.17191e-05
0.00657182 2.63189e-05 1.37737e-05
0.00681033 5.11631e-05 1.5999e-05
0.00704884 9.2116e-05 1.83622e-05
0.00728736 0.000155499 2.08425e-05
0.00752587 0.000250214 2.34223e-05
0.00776439 0.000397954 2.60956e-05
0.00800291 0.000650421 2.89199e-05
0.00824144 0.0011122 3.20026e-05
0.00847996 0.00199577 3.54398e-05
0.00871849 0.00378594 3.92698e-05
0.00895702 0.00776716 4.3396e-05
0.00919555 0.0179211 4.77685e-05
0.00943408 0.048783 5.46664e-05
