X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.163005 0.000145331 5.20778 5.23909
0.000376525 0.164312 0.000175265 5.20442 5.24115
0.000613858 0.16669 0.000195607 5.20835 5.25155
0.000851483 0.170072 0.000208454 5.20417 5.24811
0.00108931 0.17471 0.000216662 5.20376 5.25378
0.00132727 0.180428 0.000221943 5.19799 5.24958
0.00156534 0.186932 0.000225469 5.18798 5.23467
0.00180349 0.19448 0.000228025 5.19263 5.24318
0.0020417 0.20338 0.000230088 5.18007 5.23475
0.00227996 0.212973 0.000231879 5.16604 5.21685
0.00251826 0.223 0.000233605 5.15841 5.20909
0.00275659 0.233722 0.000235441 5.14706 5.19785
0.00299495 0.245059 0.000237474 5.13142 5.18178
0.00323333 0.256709 0.000239737 5.11323 5.16302
0.00347172 0.268524 0.000242239 5.09295 5.1421
0.00371014 0.280324 0.000244962 5.07033 5.11895
0.00394857 0.292018 0.000247868 5.04498 5.09312
0.00418701 0.303478 0.000250887 5.01685 5.0645
0.00442546 0.314673 0.000253938 4.98595 5.0331
0.00466392 0.325547 0.000256919 4.9523 4.99895
0.00490238 0.336037 0.000259719 4.91586 4.96198
0.00514086 0.346052 0.000262213 4.87657 4.92211
0.00537934 0.35561 0.000264293 4.8344 4.87931
0.00561783 0.364736 0.000265834 4.78929 4.83346
0.00585632 0.373464 0.000266746 4.74101 4.78437
0.00609482 0.381795 0.00026691 4.68942 4.73182
0.00633332 0.389806 0.000266266 4.63398 4.6753
0.00657182 0.397466 0.000264692 4.57459 4.61465
0.00681033 0.404897 0.000262154 4.51013 4.54879
0.00704884 0.41205 0.000258505 4.44112 4.47818
0.00728736 0.419044 0.000253721 4.36431 4.39962
0.00752587 0.425894 0.000247599 4.28283 4.31617
0.00776439 0.432711 0.000240093 4.187 4.2182
0.00800291 0.439458 0.000230845 4.08893 4.1178
0.00824144 0.446339 0.000219794 3.95775 3.98354
0.00847996 0.453272 0.000206241 3.83203 3.85512
0.00871849 0.460391 0.000189927 3.64086 3.66106
0.00895702 0.467841 0.000169477 3.45255 3.47031
0.00919555 0.47582 0.00014451 3.10457 3.11943
0.00943408 0.487447 0.000114647 2.61719 2.62598
