10:30:28.655 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsGridDisplay
10:30:28.655 INFO   - DlgSettingsGridDisplay::DlgSettingsGridDisplay
10:30:28.655 INFO   - DlgSettingsGridDisplay::createSubPanel
10:30:28.655 INFO   - DlgSettingsGridDisplay::createDisplayGridLinesX
10:30:28.655 INFO   - DlgSettingsGridDisplay::createDisplayGridLinesY
10:30:28.655 INFO   - DlgSettingsGridDisplay::createDisplayCommon
10:30:28.655 INFO   - DlgSettingsGridDisplay::createPreview
10:30:28.656 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsGridRemoval
10:30:28.656 INFO   - DlgSettingsGridRemoval::DlgSettingsGridRemoval
10:30:28.656 INFO   - DlgSettingsGridRemoval::createSubPanel
10:30:28.656 INFO   - DlgSettingsGridRemoval::createRemoveGridLines
10:30:28.656 INFO   - DlgSettingsGridRemoval::createRemoveGridLinesX
10:30:28.656 INFO   - DlgSettingsGridRemoval::createRemoveGridLinesY
10:30:28.657 INFO   - DlgSettingsGridRemoval::createPreview
10:30:28.658 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsPointMatch
10:30:28.658 INFO   - DlgSettingsPointMatch::DlgSettingsPointMatch
10:30:28.658 INFO   - DlgSettingsPointMatch::createSubPanel
10:30:28.658 INFO   - DlgSettingsPointMatch::createControls
10:30:28.658 INFO   - DlgSettingsPointMatch::createPreview
10:30:28.658 INFO   - DlgSettingsPointMatch::createTemplate
10:30:28.659 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsSegments
10:30:28.659 INFO   - DlgSettingsSegments::DlgSettingsSegments
10:30:28.659 INFO   - DlgSettingsSegments::createSubPanel
10:30:28.659 INFO   - DlgSettingsSegments::createControls
10:30:28.659 INFO   - DlgSettingsSegments::createPreview
10:30:28.659 INFO   - DlgSettingsSegments::createPreviewImage
10:30:28.660 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsGeneral
10:30:28.660 INFO   - DlgSettingsGeneral::DlgSettingsGeneral
10:30:28.660 INFO   - DlgSettingsGeneral::createSubPanel
10:30:28.660 INFO   - DlgSettingsGeneral::createControls
10:30:28.660 INFO   - DlgSettingsGeneral::createOptionalSaveDefault
10:30:28.660 INFO   - DlgSettingsAbstractBase::DlgSettingsAbstractBase name=DlgSettingsMainWindow
10:30:28.660 INFO   - DlgSettingsMainWindow::DlgSettingsMainWindow
10:30:28.660 INFO   - DlgSettingsMainWindow::createSubPanel
10:30:28.660 INFO   - DlgSettingsMainWindow::createControls
10:30:28.664 INFO   - DlgSettingsMainWindow::createOptionalSaveDefault
10:30:28.664 INFO   - MainWindow::createCommandStackShadow
10:30:28.664 INFO   - CmdStackShadow::CmdStackShadow
10:30:28.664 INFO   - MainWindow::createZoomMaps
10:30:28.664 INFO   - MainWindow::updateControls selectedItems=0
10:30:28.664 INFO   - MainWindow::slotViewToolBarChecklistGuide
10:30:28.664 INFO   - MainWindow::slotCmbBackground
10:30:28.664 INFO   - BackgroundStateContext::setBackgroundImage background=Original
