X vol_f_Field2 diameter_Field2
0.000139645 0.0387728 4.12029e-05
0.000376525 0.039768 7.07687e-05
0.000613858 0.0412011 9.40341e-05
0.000851483 0.0431278 0.00011336
0.00108931 0.0455528 0.000130283
0.00132727 0.0485169 0.000145271
0.00156534 0.0520436 0.000158531
0.00180349 0.0561759 0.000170318
0.0020417 0.060962 0.000180986
0.00227996 0.0664364 0.000190936
0.00251826 0.0726443 0.000200574
0.00275659 0.0796745 0.000210272
0.00299495 0.0874678 0.000220358
0.00323333 0.0960758 0.000231131
0.00347172 0.105476 0.000242843
0.00371014 0.115643 0.000255689
0.00394857 0.126506 0.000269784
0.00418701 0.137983 0.000285141
0.00442546 0.149936 0.00030164
0.00466392 0.162198 0.000319007
0.00490238 0.174619 0.000336818
0.00514086 0.187012 0.000354503
0.00537934 0.199308 0.000371434
0.00561783 0.211319 0.000386935
0.00585632 0.223124 0.000400466
0.00609482 0.234583 0.000411528
0.00633332 0.245864 0.000419879
0.00657182 0.256697 0.00042524
0.00681033 0.267331 0.000427627
0.00704884 0.277502 0.00042688
0.00728736 0.287528 0.000423153
0.00752587 0.297206 0.000416267
0.00776439 0.306809 0.000406418
0.00800291 0.316129 0.000393125
0.00824144 0.325682 0.000376312
0.00847996 0.335216 0.00035517
0.00871849 0.345061 0.000329741
0.00895702 0.354991 0.000298498
0.00919555 0.36622 0.000262429
0.00943408 0.380268 0.000226654
