X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.0157177 3.22272e-05 4.44131 4.44457
0.000376525 0.0166617 4.65856e-05 4.44115 4.44678
0.000613858 0.0178222 5.92791e-05 4.44019 4.44834
0.000851483 0.0194172 7.02446e-05 4.43867 4.44901
0.00108931 0.021457 8.0114e-05 4.43654 4.44889
0.00132727 0.0239762 8.93308e-05 4.43382 4.44804
0.00156534 0.02702 9.81385e-05 4.43049 4.4465
0.00180349 0.0306455 0.000106639 4.42651 4.44423
0.0020417 0.0349176 0.000114825 4.42184 4.4412
0.00227996 0.0399083 0.000122595 4.41645 4.43731
0.00251826 0.0456924 0.000129773 4.41026 4.43248
0.00275659 0.0523601 0.000136143 4.40325 4.42663
0.00299495 0.0599805 0.000141518 4.39531 4.41981
0.00323333 0.0686316 0.000145797 4.39122 4.41802
0.00347172 0.0784048 0.000148992 4.38092 4.40818
0.00371014 0.0893444 0.000151196 4.36931 4.39671
0.00394857 0.101441 0.000152565 4.35616 4.38343
0.00418701 0.114686 0.000153275 4.34128 4.36827
0.00442546 0.129034 0.000153497 4.3244 4.35092
0.00466392 0.144394 0.000153378 4.30526 4.3312
0.00490238 0.160629 0.000153042 4.28356 4.30883
0.00514086 0.177588 0.000152591 4.25895 4.28351
0.00537934 0.19506 0.000152097 4.2311 4.25491
0.00561783 0.212861 0.000151618 4.19967 4.22269
0.00585632 0.230752 0.00015118 4.16433 4.18657
0.00609482 0.248542 0.000150791 4.12478 4.14621
0.00633332 0.266069 0.00015043 4.08075 4.10139
0.00657182 0.283154 0.000150056 4.03192 4.05175
0.00681033 0.299746 0.000149601 3.97806 3.99708
0.00704884 0.315708 0.000148966 3.9186 3.9368
0.00728736 0.331112 0.000148044 3.85318 3.87052
0.00752587 0.345877 0.000146676 3.78076 3.7972
0.00776439 0.360176 0.000144704 3.70005 3.71552
0.00800291 0.374 0.000141883 3.6099 3.62431
0.00824144 0.387705 0.00013799 3.50519 3.51844
0.00847996 0.401082 0.000132557 3.38456 3.39619
0.00871849 0.414528 0.000125163 3.23208 3.2423
0.00895702 0.427963 0.000114895 3.05341 3.06216
0.00919555 0.442243 0.000101427 2.78018 2.78738
0.00943408 0.461041 8.59372e-05 2.34323 2.34711
