X vol_f_Field2 diameter_Field2
0.000139645 2.66382e-16 1e-05
0.000376525 2.67437e-16 1e-05
0.000613858 2.70418e-16 1e-05
0.000851483 2.25581e-16 1e-05
0.00108931 2.07532e-16 1e-05
0.00132727 2.17383e-16 1e-05
0.00156534 2.28706e-16 1e-05
0.00180349 1.92699e-16 1e-05
0.0020417 1.70451e-16 1e-05
0.00227996 1.80183e-16 1e-05
0.00251826 1.9164e-16 1e-05
0.00275659 2.76456e-16 1e-05
0.00299495 2.20606e-16 1e-05
0.00323333 2.45688e-16 1e-05
0.00347172 2.13973e-16 1e-05
0.00371014 1.24238e-16 1e-05
0.00394857 9.10725e-17 1e-05
0.00418701 7.29081e-17 1e-05
0.00442546 3.10589e-17 1e-05
0.00466392 3.01988e-17 1e-05
0.00490238 4.5532e-17 1e-05
0.00514086 9.93318e-17 1e-05
0.00537934 5.30946e-16 1e-05
0.00561783 2.33882e-15 1e-05
0.00585632 1.24653e-14 1e-05
0.00609482 7.03534e-14 1e-05
0.00633332 3.64263e-13 1e-05
0.00657182 2.12901e-12 1e-05
0.00681033 1.21988e-11 1e-05
0.00704884 6.72373e-11 1e-05
0.00728736 3.63039e-10 1e-05
0.00752587 1.71709e-09 1e-05
0.00776439 9.13016e-09 1e-05
0.00800291 4.74536e-08 1e-05
0.00824144 2.12342e-07 1e-05
0.00847996 1.0359e-06 1e-05
0.00871849 4.14927e-06 1e-05
0.00895702 1.54549e-05 1e-05
0.00919555 7.40855e-05 1e-05
0.00943408 0.000438183 1e-05
