X vol_f_Field2 diameter_Field2
0.000139645 3.84988e-15 1e-05
0.000376525 3.84925e-15 1e-05
0.000613858 3.84866e-15 1e-05
0.000851483 3.84921e-15 1e-05
0.00108931 3.84938e-15 1e-05
0.00132727 3.85004e-15 1e-05
0.00156534 3.85092e-15 1e-05
0.00180349 3.85172e-15 1e-05
0.0020417 3.8514e-15 1e-05
0.00227996 3.84573e-15 1e-05
0.00251826 3.81805e-15 1e-05
0.00275659 3.71014e-15 1e-05
0.00299495 3.35449e-15 1e-05
0.00323333 2.41988e-15 1e-05
0.00347172 1.11323e-15 1e-05
0.00371014 2.09667e-15 1e-05
0.00394857 7.40396e-15 1e-05
0.00418701 2.75764e-14 1.00001e-05
0.00442546 1.01665e-13 1.00005e-05
0.00466392 3.68523e-13 1.00015e-05
0.00490238 1.33879e-12 1.00021e-05
0.00514086 4.99622e-12 1.00009e-05
0.00537934 1.85187e-11 1e-05
0.00561783 6.7284e-11 1e-05
0.00585632 2.40675e-10 1e-05
0.00609482 8.48115e-10 1e-05
0.00633332 2.93766e-09 1e-05
0.00657182 1.00483e-08 1e-05
0.00681033 3.37426e-08 1e-05
0.00704884 1.1221e-07 1e-05
0.00728736 3.65894e-07 1e-05
0.00752587 1.18444e-06 1e-05
0.00776439 3.75908e-06 1e-05
0.00800291 1.1915e-05 1e-05
0.00824144 3.68397e-05 1e-05
0.00847996 0.000114677 1e-05
0.00871849 0.000338076 1.06844e-05
0.00895702 0.000861099 1.65439e-05
0.00919555 0.00224252 2.48376e-05
0.00943408 0.0081933 3.68816e-05
