X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.208886 0.0002763 5.21788 5.28133
0.000376525 0.210007 0.000297888 5.21629 5.28552
0.000613858 0.211896 0.000311925 5.21366 5.28642
0.000851483 0.214544 0.000322393 5.2099 5.28505
0.00108931 0.218014 0.000331752 5.20484 5.2819
0.00132727 0.222228 0.000341126 5.19838 5.2772
0.00156534 0.227189 0.000351099 5.19046 5.27102
0.00180349 0.232807 0.000361936 5.18094 5.26333
0.0020417 0.239044 0.000373747 5.16974 5.25405
0.00227996 0.245793 0.000386493 5.15674 5.24306
0.00251826 0.25299 0.000400037 5.14193 5.23031
0.00275659 0.260492 0.000414121 5.12546 5.21525
0.00299495 0.268313 0.000428426 5.10727 5.19701
0.00323333 0.276334 0.000442543 5.08697 5.17593
0.00347172 0.284518 0.000456049 5.06448 5.15235
0.00371014 0.292694 0.000468483 5.03974 5.1264
0.00394857 0.300854 0.000479465 5.01268 5.09809
0.00418701 0.308933 0.000488668 4.98325 5.06741
0.00442546 0.316942 0.000495904 4.95139 5.03431
0.00466392 0.3248 0.000501044 4.91705 4.99874
0.00490238 0.332533 0.000504102 4.88011 4.96062
0.00514086 0.340064 0.000505098 4.84054 4.91987
0.00537934 0.347447 0.000504174 4.79811 4.87631
0.00561783 0.354585 0.000501391 4.75275 4.82983
0.00585632 0.361592 0.000496942 4.70409 4.78009
0.00609482 0.368334 0.000490855 4.65216 4.72708
0.00633332 0.374997 0.000483312 4.59614 4.67004
0.00657182 0.381402 0.000474219 4.53642 4.60928
0.00681033 0.387762 0.000463729 4.47103 4.54287
0.00704884 0.393929 0.00045161 4.40198 4.4727
0.00728736 0.400113 0.00043796 4.32304 4.39246
0.00752587 0.406078 0.000422314 4.24358 4.31107
0.00776439 0.412193 0.0004048 4.14659 4.20985
0.00800291 0.418293 0.000384791 4.04953 4.10795
0.00824144 0.42461 0.000362437 3.91235 3.96498
0.00847996 0.430967 0.000336317 3.78939 3.83647
0.00871849 0.437542 0.000306361 3.5859 3.62721
0.00895702 0.444368 0.000269619 3.40345 3.4396
0.00919555 0.451914 0.000225582 3.03662 3.06662
0.00943408 0.462561 0.000172059 2.54078 2.55926
