X vol_f_Field2 diameter_Field2
0.000139645 0.568273 0.000967976
0.000376525 0.568306 0.000968563
0.000613858 0.568325 0.000967621
0.000851483 0.568362 0.000965106
0.00108931 0.568416 0.000960872
0.00132727 0.568492 0.000954813
0.00156534 0.568607 0.000946865
0.00180349 0.568774 0.00093707
0.0020417 0.568998 0.000925555
0.00227996 0.569307 0.000912513
0.00251826 0.569703 0.000898176
0.00275659 0.57021 0.000882766
0.00299495 0.57083 0.000866502
0.00323333 0.571574 0.000849552
0.00347172 0.572437 0.000832075
0.00371014 0.573432 0.000814162
0.00394857 0.574554 0.000795914
0.00418701 0.575816 0.000777357
0.00442546 0.577204 0.00075855
0.00466392 0.578742 0.000739468
0.00490238 0.580369 0.000720128
0.00514086 0.582056 0.000700471
0.00537934 0.583789 0.000680559
0.00561783 0.585586 0.000660305
0.00585632 0.587436 0.000639774
0.00609482 0.589358 0.000618829
0.00633332 0.591341 0.000597554
0.00657182 0.593435 0.000575722
0.00681033 0.5955 0.000553474
0.00704884 0.597724 0.000530415
0.00728736 0.599893 0.000506775
0.00752587 0.602308 0.00048186
0.00776439 0.604619 0.000456079
0.00800291 0.607284 0.000428175
0.00824144 0.60988 0.000398829
0.00847996 0.612956 0.000365834
0.00871849 0.615975 0.000329951
0.00895702 0.619752 0.000287419
0.00919555 0.623142 0.000238582
0.00943408 0.629609 0.000185605
