X vol_f_Field2 diameter_Field2
0.000139645 0.599217 0.000877864
0.000376525 0.599415 0.000877066
0.000613858 0.601261 0.000874982
0.000851483 0.606282 0.000872368
0.00108931 0.61434 0.000869772
0.00132727 0.626654 0.000867021
0.00156534 0.649441 0.000864831
0.00180349 0.656236 0.000861831
0.0020417 0.667556 0.00085574
0.00227996 0.694095 0.000850288
0.00251826 0.715204 0.000845719
0.00275659 0.733691 0.000841166
0.00299495 0.754566 0.00083731
0.00323333 0.77847 0.000834177
0.00347172 0.804724 0.000831704
0.00371014 0.830102 0.000827662
0.00394857 0.846709 0.00082094
0.00418701 0.853019 0.000812576
0.00442546 0.852257 0.000802985
0.00466392 0.847147 0.000791307
0.00490238 0.839591 0.000776612
0.00514086 0.831466 0.000760635
0.00537934 0.819501 0.000743244
0.00561783 0.806671 0.000723382
0.00585632 0.793596 0.000699952
0.00609482 0.781287 0.000672921
0.00633332 0.770357 0.000642272
0.00657182 0.76228 0.000608463
0.00681033 0.751318 0.000571666
0.00704884 0.737145 0.000532842
0.00728736 0.722866 0.000493614
0.00752587 0.716914 0.00045387
0.00776439 0.706875 0.000413012
0.00800291 0.704209 0.000379401
0.00824144 0.73824 0.000359304
0.00847996 0.868169 0.000354574
0.00871849 0.890986 0.000358884
0.00895702 0.879976 0.000364977
0.00919555 0.890472 0.000390547
0.00943408 0.887028 0.00048626
