X vol_f_Field2 diameter_Field2
0.000139645 0.194 0.00027339
0.000376525 0.195224 0.000279166
0.000613858 0.197316 0.000282869
0.000851483 0.200353 0.000285574
0.00108931 0.204329 0.000288013
0.00132727 0.209222 0.000290558
0.00156534 0.214998 0.000293418
0.00180349 0.221589 0.00029672
0.0020417 0.228904 0.000300546
0.00227996 0.236807 0.000304945
0.00251826 0.245272 0.000309924
0.00275659 0.254158 0.000315448
0.00299495 0.263399 0.000321458
0.00323333 0.272821 0.000327842
0.00347172 0.282379 0.000334468
0.00371014 0.291887 0.000341144
0.00394857 0.301265 0.000347672
0.00418701 0.310424 0.000353824
0.00442546 0.319349 0.000359402
0.00466392 0.328019 0.000364197
0.00490238 0.336465 0.000368066
0.00514086 0.344616 0.000370856
0.00537934 0.352528 0.00037251
0.00561783 0.36015 0.000372921
0.00585632 0.367565 0.000372116
0.00609482 0.37468 0.000370005
0.00633332 0.381649 0.000366685
0.00657182 0.388346 0.000362025
0.00681033 0.394947 0.000356146
0.00704884 0.401337 0.000348842
0.00728736 0.40771 0.000340232
0.00752587 0.413893 0.000329957
0.00776439 0.42018 0.000318162
0.00800291 0.426386 0.000304184
0.00824144 0.432769 0.000288177
0.00847996 0.439214 0.000268914
0.00871849 0.445862 0.000246234
0.00895702 0.452784 0.00021745
0.00919555 0.460311 0.00018168
0.00943408 0.47134 0.000136451
