X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.0437428 3.07732e-05 4.57481 4.57848
0.000376525 0.0452872 5.51596e-05 4.57511 4.58389
0.000613858 0.0469367 7.59631e-05 4.57424 4.58798
0.000851483 0.0491802 9.35492e-05 4.57271 4.59064
0.00108931 0.0520251 0.000109044 4.57049 4.59207
0.00132727 0.0554941 0.000123065 4.56757 4.59238
0.00156534 0.0596149 0.000135775 4.56393 4.59157
0.00180349 0.0644547 0.000147118 4.55951 4.58959
0.0020417 0.0700581 0.000157005 4.55429 4.58641
0.00227996 0.0764959 0.000165452 4.54818 4.58195
0.00251826 0.0838209 0.000172598 4.54111 4.57619
0.00275659 0.092094 0.000178675 4.53297 4.56906
0.00299495 0.101361 0.000183949 4.52361 4.56048
0.00323333 0.111598 0.000188682 4.51287 4.55036
0.00347172 0.12275 0.000193122 4.50056 4.53845
0.00371014 0.134834 0.000197488 4.48645 4.52464
0.00394857 0.147759 0.000201965 4.47028 4.50873
0.00418701 0.161444 0.000206702 4.45176 4.49045
0.00442546 0.175774 0.000211807 4.4306 4.46953
0.00466392 0.190557 0.000217334 4.4065 4.44569
0.00490238 0.205555 0.000223278 4.37923 4.41869
0.00514086 0.220476 0.000229552 4.34861 4.38834
0.00537934 0.235148 0.000236036 4.31449 4.35451
0.00561783 0.249453 0.000242536 4.27682 4.3171
0.00585632 0.263245 0.000248826 4.23552 4.27601
0.00609482 0.276456 0.000254631 4.19059 4.23119
0.00633332 0.289064 0.000259695 4.14178 4.18237
0.00657182 0.301026 0.000263721 4.08904 4.12944
0.00681033 0.312452 0.000266501 4.03162 4.07163
0.00704884 0.323301 0.000267762 3.9696 4.00894
0.00728736 0.333723 0.000267377 3.90093 3.93934
0.00752587 0.343716 0.000265094 3.82691 3.86405
0.00776439 0.353434 0.000260844 3.7415 3.77708
0.00800291 0.36286 0.0002542 3.65087 3.68456
0.00824144 0.372296 0.00024501 3.53751 3.56895
0.00847996 0.381678 0.000232684 3.41721 3.44541
0.00871849 0.391065 0.000216957 3.24843 3.27382
0.00895702 0.400615 0.000196635 3.07084 3.0936
0.00919555 0.410688 0.000171495 2.76697 2.7869
0.00943408 0.424429 0.000141967 2.31318 2.32581
