X alpha diameter_field2 velocity_field1 velocity_field2
0.000139645 0.00573034 3.54657e-05 4.21421 4.21767
0.000376525 0.00614268 4.79023e-05 4.21378 4.21912
0.000613858 0.00672861 5.86688e-05 4.21243 4.2197
0.000851483 0.00755421 6.78614e-05 4.2104 4.21933
0.00108931 0.00863316 7.61474e-05 4.20764 4.21811
0.00132727 0.00999225 8.3928e-05 4.20418 4.21612
0.00156534 0.0116662 9.14178e-05 4.19998 4.21337
0.00180349 0.0136982 9.87182e-05 4.19505 4.20985
0.0020417 0.0161385 0.000105853 4.18934 4.20553
0.00227996 0.0190455 0.000112782 4.18284 4.20034
0.00251826 0.0224846 0.000119413 4.17549 4.19423
0.00275659 0.0265285 0.000125612 4.16724 4.18709
0.00299495 0.0312561 0.000131242 4.15804 4.17885
0.00323333 0.0367513 0.000136199 4.14781 4.16941
0.00347172 0.0431008 0.000140446 4.13647 4.15869
0.00371014 0.0503918 0.000144022 4.12392 4.14661
0.00394857 0.0587059 0.000147026 4.11004 4.13306
0.00418701 0.0681167 0.00014959 4.0947 4.11795
0.00442546 0.0786776 0.00015185 4.07772 4.10113
0.00466392 0.090414 0.000153927 4.05888 4.08239
0.00490238 0.103323 0.000155943 4.03794 4.06139
0.00514086 0.117351 0.000158014 4.01461 4.03805
0.00537934 0.132417 0.000160241 3.98855 4.01196
0.00561783 0.148357 0.000162703 3.95938 3.98276
0.00585632 0.165022 0.000165454 3.92669 3.95004
0.00609482 0.182127 0.000168498 3.89009 3.91338
0.00633332 0.199512 0.000171811 3.84916 3.87241
0.00657182 0.216781 0.000175277 3.80357 3.82674
0.00681033 0.233896 0.000178773 3.75296 3.77603
0.00704884 0.250426 0.000182038 3.69702 3.71994
0.00728736 0.266528 0.000184864 3.63516 3.65783
0.00752587 0.281808 0.000186848 3.56692 3.58925
0.00776439 0.296664 0.000187748 3.4904 3.51221
0.00800291 0.310753 0.000187015 3.40558 3.42666
0.00824144 0.324638 0.000184381 3.30587 3.32599
0.00847996 0.338115 0.000179098 3.19418 3.21304
0.00871849 0.351589 0.000170757 3.04924 3.06657
0.00895702 0.364891 0.000158077 2.87835 2.89389
0.00919555 0.378891 0.000141079 2.61139 2.62388
0.00943408 0.395052 0.000122378 2.18411 2.19117
